Gene,BA11.R2,BA11.Peak,BA11.Pval,BA11.qval,BA47.R2,BA47.Peak,BA47.Pval,BA47.qval,Diff.Peak,Avg.R2,Combined.Pval,Combined.qval,BA11.weight,BA47.weight,Both.weight,Age.genes,Sex.genes
PDCD4,0.01,1.47,5.58E-01,8.49E-01,0.01,-2.87,3.48E-01,9.05E-01,4.34,0.01,3.49E-01,5.46E-01,0,1,1,0,0
ADCY6,0.01,11.86,6.08E-01,8.69E-01,0.02,13.68,3.19E-01,8.93E-01,1.82,0.01,3.19E-01,5.27E-01,0,1,1,0,0
EFEMP1,0.02,7.20,3.01E-01,7.10E-01,0.01,9.50,6.44E-01,9.70E-01,2.30,0.01,3.02E-01,5.14E-01,1,0,1,1,0
DSERG1,0.01,1.83,5.56E-01,8.49E-01,0.01,6.06,3.50E-01,9.06E-01,4.23,0.01,3.50E-01,5.47E-01,0,1,1,0,0
FLJ44385,0.02,14.18,2.02E-01,6.28E-01,0.00,4.57,9.60E-01,9.98E-01,9.61,0.01,2.02E-01,4.41E-01,1,0,1,0,0
NLRP14,0.01,14.96,5.92E-01,8.63E-01,0.02,-0.15,3.28E-01,8.99E-01,8.88,0.01,3.29E-01,5.34E-01,0,1,1,0,0
PRSS1,0.01,16.40,5.10E-01,8.29E-01,0.01,10.55,3.81E-01,9.14E-01,5.85,0.01,3.83E-01,5.67E-01,0,1,1,0,0
SDS,0.01,13.05,4.05E-01,7.78E-01,0.01,12.24,4.80E-01,9.39E-01,0.81,0.01,4.08E-01,5.85E-01,1,0,1,0,0
WBP11,0.02,1.47,2.31E-01,6.53E-01,0.00,0.10,8.41E-01,9.89E-01,1.37,0.01,2.31E-01,4.63E-01,1,0,1,1,0
FGF23,0.02,15.58,2.13E-01,6.37E-01,0.00,6.81,9.11E-01,9.95E-01,8.77,0.01,2.13E-01,4.49E-01,1,0,1,0,0
C11orf30,0.00,14.55,9.53E-01,9.87E-01,0.02,11.23,2.04E-01,8.32E-01,3.32,0.01,2.04E-01,4.42E-01,0,1,1,0,0
FGF16,0.00,-0.21,9.85E-01,9.96E-01,0.02,9.56,1.97E-01,8.30E-01,9.77,0.01,1.97E-01,4.37E-01,0,1,1,0,0
WDR55,0.01,9.56,4.13E-01,7.80E-01,0.01,5.92,4.72E-01,9.38E-01,3.64,0.01,4.16E-01,5.89E-01,1,0,1,0,0
TMPPE,0.01,2.33,4.08E-01,7.78E-01,0.01,12.66,4.77E-01,9.39E-01,10.32,0.01,4.11E-01,5.86E-01,1,0,1,0,0
BCL9L,0.01,15.19,4.30E-01,7.89E-01,0.01,12.47,4.53E-01,9.31E-01,2.72,0.01,4.34E-01,6.01E-01,1,0,1,0,0
ALDH9A1,0.01,-1.65,5.71E-01,8.55E-01,0.01,15.00,3.41E-01,9.03E-01,7.36,0.01,3.41E-01,5.42E-01,0,1,1,1,0
JAG1,0.01,6.32,3.46E-01,7.41E-01,0.01,-1.37,5.62E-01,9.55E-01,7.68,0.01,3.47E-01,5.45E-01,1,0,1,0,0
ATF7IP,0.01,3.04,4.21E-01,7.85E-01,0.01,16.87,4.63E-01,9.37E-01,10.17,0.01,4.25E-01,5.95E-01,1,0,1,0,0
FLRT3,0.01,1.99,5.83E-01,8.59E-01,0.02,-0.37,3.34E-01,9.01E-01,2.36,0.01,3.35E-01,5.38E-01,0,1,1,0,0
ATP8B2,0.01,11.87,5.40E-01,8.42E-01,0.01,0.58,3.61E-01,9.08E-01,11.29,0.01,3.62E-01,5.53E-01,0,1,1,0,0
