Gene,BA11.R2,BA11.Peak,BA11.Pval,BA11.qval,BA47.R2,BA47.Peak,BA47.Pval,BA47.qval,Diff.Peak,Avg.R2,Combined.Pval,Combined.qval,BA11.weight,BA47.weight,Both.weight,Age.genes,Sex.genes
PDZD3,0.04,11.89,4.24E-02,3.88E-01,0.01,8.62,4.89E-01,9.41E-01,3.27,0.03,4.23E-02,2.51E-01,1,0,1,0,0
SNORD115-32,0.05,7.57,3.32E-02,3.59E-01,0.01,2.96,6.23E-01,9.66E-01,4.61,0.03,3.32E-02,2.29E-01,1,0,1,0,0
ATRNL1,0.03,5.57,1.48E-01,5.69E-01,0.03,8.13,1.40E-01,7.84E-01,2.56,0.03,1.01E-01,3.41E-01,1,1,2,0,0
MOSPD3,0.02,16.79,2.64E-01,6.80E-01,0.03,10.81,7.84E-02,7.01E-01,5.98,0.03,7.85E-02,3.12E-01,0,1,1,0,0
SYCP2L,0.00,2.97,7.38E-01,9.20E-01,0.05,-2.58,2.81E-02,5.55E-01,5.55,0.03,2.81E-02,2.15E-01,0,1,1,0,0
IL12RB1,0.04,11.30,5.45E-02,4.19E-01,0.01,10.59,3.81E-01,9.14E-01,0.71,0.03,5.45E-02,2.73E-01,1,0,1,0,0
C8orf34,0.00,-2.99,8.05E-01,9.42E-01,0.05,-3.53,2.58E-02,5.36E-01,0.54,0.03,2.58E-02,2.08E-01,0,1,1,1,0
LOC100288797,0.03,12.35,1.27E-01,5.41E-01,0.02,3.96,1.64E-01,8.07E-01,8.38,0.03,1.01E-01,3.41E-01,1,1,2,0,0
ADPRHL2,0.04,14.84,6.38E-02,4.37E-01,0.02,10.71,3.26E-01,8.96E-01,4.13,0.03,6.38E-02,2.89E-01,1,0,1,0,0
PLEKHO1,0.05,-4.56,2.79E-02,3.44E-01,0.00,11.44,7.46E-01,9.81E-01,8.00,0.03,2.79E-02,2.15E-01,1,0,1,0,0
OR1M1,0.05,16.10,3.64E-02,3.68E-01,0.01,9.21,5.72E-01,9.57E-01,6.89,0.03,3.64E-02,2.38E-01,1,0,1,0,0
MYO1H,0.05,16.54,3.09E-02,3.51E-01,0.01,6.22,6.75E-01,9.73E-01,10.33,0.03,3.09E-02,2.23E-01,1,0,1,0,0
SULT1E1,0.05,-6.50,2.51E-02,3.31E-01,0.00,5.35,8.31E-01,9.87E-01,11.85,0.03,2.51E-02,2.06E-01,1,0,1,0,0
EPB41L1,0.03,7.93,1.27E-01,5.41E-01,0.02,7.31,1.65E-01,8.08E-01,0.61,0.03,1.02E-01,3.42E-01,1,1,2,1,0
VGLL2,0.03,13.99,1.04E-01,5.09E-01,0.02,10.72,2.02E-01,8.32E-01,3.27,0.03,1.02E-01,3.42E-01,1,1,2,0,0
RGS10,0.03,-4.38,7.86E-02,4.67E-01,0.02,-3.38,2.66E-01,8.67E-01,1.00,0.03,7.86E-02,3.12E-01,1,0,1,1,0
IL2,0.04,12.68,5.19E-02,4.13E-01,0.01,8.74,4.03E-01,9.19E-01,3.94,0.03,5.19E-02,2.69E-01,1,0,1,0,0
SNAPC2,0.01,14.35,4.23E-01,7.86E-01,0.04,12.16,4.94E-02,6.24E-01,2.18,0.03,4.94E-02,2.64E-01,0,1,1,0,0
MARVELD3,0.04,13.14,3.68E-02,3.69E-01,0.01,3.30,5.67E-01,9.56E-01,9.85,0.03,3.68E-02,2.38E-01,1,0,1,0,0
SNORA71C,0.05,14.68,2.99E-02,3.47E-01,0.01,10.84,6.99E-01,9.74E-01,3.84,0.03,2.99E-02,2.20E-01,1,0,1,0,0
NCSTN,0.00,-3.34,7.65E-01,9.30E-01,0.05,16.01,2.73E-02,5.49E-01,4.65,0.03,2.73E-02,2.13E-01,0,1,1,0,0
SLC39A2,0.03,14.55,9.57E-02,4.98E-01,0.02,2.61,2.19E-01,8.43E-01,11.94,0.03,9.57E-02,3.36E-01,1,0,1,0,0
SR140,0.05,1.75,2.19E-02,3.14E-01,0.00,1.24,9.57E-01,9.98E-01,0.52,0.03,2.19E-02,1.94E-01,1,0,1,0,0
VEPH1,0.00,14.68,8.36E-01,9.52E-01,0.05,16.45,2.51E-02,5.34E-01,1.77,0.03,2.51E-02,2.06E-01,0,1,1,0,0
SPEF1,0.05,15.45,2.37E-02,3.24E-01,0.00,5.94,8.84E-01,9.95E-01,9.51,0.03,2.37E-02,2.01E-01,1,0,1,1,0
PPM1M,0.00,2.34,9.75E-01,9.93E-01,0.05,-4.16,2.15E-02,5.10E-01,6.50,0.03,2.15E-02,1.93E-01,0,1,1,0,0
KRT24,0.04,14.96,5.85E-02,4.28E-01,0.01,10.92,3.59E-01,9.08E-01,4.04,0.03,5.85E-02,2.80E-01,1,0,1,0,0
KLHL30,0.05,14.80,2.57E-02,3.34E-01,0.00,6.84,8.17E-01,9.87E-01,7.96,0.03,2.57E-02,2.08E-01,1,0,1,0,0
CDC14C,0.03,16.12,1.21E-01,5.34E-01,0.02,11.19,1.74E-01,8.17E-01,4.93,0.03,1.02E-01,3.42E-01,1,1,2,0,0
HBQ1,0.03,13.22,1.41E-01,5.58E-01,0.03,12.42,1.49E-01,7.93E-01,0.79,0.03,1.02E-01,3.42E-01,1,1,2,1,0
DOCK2,0.02,-5.78,2.37E-01,6.56E-01,0.03,-2.60,8.89E-02,7.17E-01,3.17,0.03,8.89E-02,3.28E-01,0,1,1,1,0
LZTR1,0.03,12.52,9.62E-02,4.99E-01,0.02,16.05,2.19E-01,8.44E-01,3.53,0.03,9.63E-02,3.36E-01,1,0,1,0,0
GMCL1L,0.02,10.38,2.57E-01,6.75E-01,0.03,13.97,8.19E-02,7.08E-01,3.59,0.03,8.19E-02,3.17E-01,0,1,1,0,0
FLJ40536,0.03,12.59,8.17E-02,4.71E-01,0.02,11.13,2.58E-01,8.64E-01,1.46,0.03,8.17E-02,3.17E-01,1,0,1,0,0
FOXF2,0.04,14.23,6.51E-02,4.38E-01,0.02,16.70,3.23E-01,8.93E-01,2.47,0.03,6.51E-02,2.91E-01,1,0,1,0,0
DHX32,0.01,3.32,3.81E-01,7.62E-01,0.04,-0.49,5.52E-02,6.43E-01,3.80,0.03,5.52E-02,2.74E-01,0,1,1,0,0
GABRR2,0.04,13.40,4.28E-02,3.90E-01,0.01,3.27,4.91E-01,9.41E-01,10.13,0.03,4.28E-02,2.52E-01,1,0,1,0,0
UBE2J2,0.05,14.58,3.27E-02,3.57E-01,0.01,7.70,6.45E-01,9.70E-01,6.88,0.03,3.27E-02,2.27E-01,1,0,1,0,0
DNAJB8,0.03,14.73,8.39E-02,4.75E-01,0.02,7.78,2.51E-01,8.62E-01,6.96,0.03,8.39E-02,3.20E-01,1,0,1,0,0
CCNF,0.03,10.82,1.34E-01,5.49E-01,0.03,-1.52,1.57E-01,8.02E-01,11.66,0.03,1.03E-01,3.42E-01,1,1,2,0,0
PIGF,0.00,-5.71,8.16E-01,9.46E-01,0.05,-4.26,2.59E-02,5.36E-01,1.45,0.03,2.59E-02,2.08E-01,0,1,1,0,0
IQCC,0.00,4.37,8.05E-01,9.42E-01,0.05,12.90,2.63E-02,5.38E-01,8.53,0.03,2.63E-02,2.09E-01,0,1,1,0,0
NKTR,0.03,4.68,1.62E-01,5.85E-01,0.03,3.85,1.31E-01,7.74E-01,0.83,0.03,1.03E-01,3.43E-01,1,1,2,1,0
SPAG6,0.02,14.41,2.08E-01,6.33E-01,0.03,-2.68,1.02E-01,7.35E-01,6.91,0.03,1.02E-01,3.42E-01,0,1,1,1,0
HIST3H3,0.03,13.94,1.58E-01,5.82E-01,0.03,11.79,1.35E-01,7.79E-01,2.15,0.03,1.03E-01,3.43E-01,1,1,2,0,0
IFNAR2,0.03,0.44,9.91E-02,5.04E-01,0.02,-5.52,2.14E-01,8.39E-01,5.96,0.03,9.92E-02,3.39E-01,1,0,1,0,0
C12orf36,0.03,-3.15,9.48E-02,4.97E-01,0.02,8.66,2.24E-01,8.47E-01,11.81,0.03,9.48E-02,3.35E-01,1,0,1,0,0
PCNP,0.03,5.11,1.03E-01,5.09E-01,0.02,2.64,2.06E-01,8.33E-01,2.47,0.03,1.03E-01,3.43E-01,1,1,2,0,0
LRRC15,0.03,13.47,9.76E-02,5.02E-01,0.02,12.24,2.18E-01,8.43E-01,1.23,0.03,9.76E-02,3.38E-01,1,0,1,0,0
OR4N3P,0.02,16.59,2.28E-01,6.52E-01,0.03,8.31,9.31E-02,7.23E-01,8.28,0.03,9.31E-02,3.33E-01,0,1,1,0,0
ARNT,0.03,2.43,8.09E-02,4.71E-01,0.02,3.13,2.63E-01,8.66E-01,0.70,0.03,8.09E-02,3.16E-01,1,0,1,0,0
GAS1,0.03,12.83,8.80E-02,4.85E-01,0.02,11.11,2.42E-01,8.55E-01,1.72,0.03,8.80E-02,3.27E-01,1,0,1,0,0
CXXC1,0.02,-2.82,3.40E-01,7.37E-01,0.04,10.06,6.27E-02,6.73E-01,11.13,0.03,6.27E-02,2.87E-01,0,1,1,0,0
NCOR1,0.04,2.89,5.16E-02,4.12E-01,0.01,5.66,4.13E-01,9.22E-01,2.77,0.03,5.16E-02,2.68E-01,1,0,1,0,0
C1QL1,0.01,15.43,4.85E-01,8.17E-01,0.04,11.88,4.37E-02,6.15E-01,3.55,0.03,4.37E-02,2.54E-01,0,1,1,0,0
DHX34,0.04,10.20,4.78E-02,4.03E-01,0.01,5.64,4.45E-01,9.30E-01,4.56,0.03,4.78E-02,2.61E-01,1,0,1,0,0
ZBTB9,0.04,15.88,4.41E-02,3.93E-01,0.01,-3.88,4.83E-01,9.40E-01,4.25,0.03,4.41E-02,2.55E-01,1,0,1,0,0
SMC6,0.05,6.17,2.88E-02,3.46E-01,0.00,1.45,7.36E-01,9.78E-01,4.72,0.03,2.88E-02,2.17E-01,1,0,1,0,0
IL16,0.05,15.28,2.57E-02,3.33E-01,0.00,13.06,8.30E-01,9.87E-01,2.23,0.03,2.57E-02,2.08E-01,1,0,1,0,0
LSP1,0.00,0.46,9.17E-01,9.75E-01,0.05,13.89,2.32E-02,5.19E-01,10.57,0.03,2.32E-02,1.99E-01,0,1,1,1,0
INO80E,0.00,-3.76,9.46E-01,9.84E-01,0.05,8.00,2.24E-02,5.13E-01,11.76,0.03,2.24E-02,1.95E-01,0,1,1,0,0
GALE,0.03,-2.79,1.21E-01,5.34E-01,0.02,-0.99,1.76E-01,8.20E-01,1.80,0.03,1.03E-01,3.44E-01,1,1,2,0,0
CRYZL1,0.02,2.89,3.34E-01,7.33E-01,0.04,-1.43,6.39E-02,6.77E-01,4.33,0.03,6.39E-02,2.89E-01,0,1,1,0,0
KHDRBS2,0.04,6.18,5.91E-02,4.28E-01,0.01,6.34,3.61E-01,9.09E-01,0.17,0.03,5.91E-02,2.80E-01,1,0,1,1,0
WSCD1,0.04,-5.69,5.57E-02,4.22E-01,0.01,15.83,3.83E-01,9.14E-01,2.48,0.03,5.57E-02,2.75E-01,1,0,1,0,0
STX1B,0.03,8.08,1.07E-01,5.13E-01,0.02,6.28,2.01E-01,8.31E-01,1.80,0.03,1.04E-01,3.44E-01,1,1,2,0,0
SDCCAG8,0.04,3.99,4.34E-02,3.93E-01,0.01,3.22,4.92E-01,9.41E-01,0.77,0.03,4.34E-02,2.54E-01,1,0,1,0,0
MFSD1,0.01,-2.15,5.77E-01,8.57E-01,0.04,-6.41,3.70E-02,5.92E-01,4.25,0.03,3.70E-02,2.39E-01,0,1,1,0,0
DMXL1,0.03,3.33,1.09E-01,5.17E-01,0.02,-0.10,1.97E-01,8.30E-01,3.43,0.03,1.04E-01,3.44E-01,1,1,2,0,0
SNORD83B,0.01,12.04,4.42E-01,7.95E-01,0.04,6.06,4.83E-02,6.21E-01,5.98,0.03,4.83E-02,2.62E-01,0,1,1,0,0
PUS7L,0.03,2.24,8.88E-02,4.86E-01,0.02,2.77,2.41E-01,8.55E-01,0.53,0.03,8.88E-02,3.28E-01,1,0,1,0,0
TRPV6,0.02,11.14,1.86E-01,6.10E-01,0.03,10.56,1.15E-01,7.53E-01,0.58,0.03,1.04E-01,3.44E-01,1,1,2,0,0
IFIH1,0.04,0.01,6.23E-02,4.35E-01,0.01,-1.01,3.43E-01,9.03E-01,1.02,0.03,6.23E-02,2.86E-01,1,0,1,0,0
GCNT2,0.02,-6.41,2.05E-01,6.30E-01,0.03,8.87,1.05E-01,7.42E-01,8.72,0.03,1.04E-01,3.44E-01,1,1,2,0,0
NTN3,0.05,12.28,2.23E-02,3.15E-01,0.00,1.18,9.62E-01,9.98E-01,11.10,0.03,2.23E-02,1.95E-01,1,0,1,0,0
TMEM50A,0.02,-5.12,1.95E-01,6.20E-01,0.03,-6.30,1.10E-01,7.47E-01,1.18,0.03,1.04E-01,3.44E-01,1,1,2,1,0
PRG3,0.05,-4.10,2.36E-02,3.24E-01,0.00,10.60,9.10E-01,9.95E-01,9.30,0.03,2.36E-02,2.00E-01,1,0,1,0,0
OR2T29,0.00,-1.42,9.31E-01,9.80E-01,0.05,10.07,2.31E-02,5.19E-01,11.49,0.03,2.31E-02,1.99E-01,0,1,1,0,0
OR5M9,0.04,15.09,3.70E-02,3.69E-01,0.01,1.87,5.82E-01,9.59E-01,10.78,0.03,3.70E-02,2.39E-01,1,0,1,0,0
CRYGB,0.02,15.27,2.75E-01,6.87E-01,0.03,-5.19,7.85E-02,7.01E-01,3.54,0.03,7.85E-02,3.12E-01,0,1,1,0,0
SEC14L2,0.03,-2.95,1.60E-01,5.84E-01,0.03,-1.67,1.35E-01,7.78E-01,1.28,0.03,1.04E-01,3.45E-01,1,1,2,1,0
GABRB1,0.01,11.42,4.93E-01,8.21E-01,0.04,14.03,4.38E-02,6.15E-01,2.61,0.03,4.38E-02,2.55E-01,0,1,1,0,0
PLD4,0.02,-3.42,1.67E-01,5.91E-01,0.03,15.58,1.29E-01,7.70E-01,5.00,0.03,1.05E-01,3.45E-01,1,1,2,0,0
KIF18A,0.04,16.32,5.00E-02,4.09E-01,0.01,7.81,4.32E-01,9.28E-01,8.51,0.03,5.00E-02,2.65E-01,1,0,1,0,0
NARS2,0.04,2.11,4.43E-02,3.93E-01,0.01,9.70,4.88E-01,9.40E-01,7.59,0.03,4.43E-02,2.55E-01,1,0,1,0,0
ZBTB6,0.04,-2.20,3.69E-02,3.69E-01,0.01,-0.44,5.85E-01,9.59E-01,1.76,0.03,3.69E-02,2.39E-01,1,0,1,0,0
PAX3,0.05,14.97,2.62E-02,3.36E-01,0.00,-1.67,8.23E-01,9.87E-01,7.36,0.03,2.62E-02,2.09E-01,1,0,1,0,0
STRC,0.02,9.36,2.45E-01,6.64E-01,0.03,4.03,8.84E-02,7.16E-01,5.33,0.03,8.84E-02,3.27E-01,0,1,1,0,0
CYP2F1,0.03,16.96,1.07E-01,5.14E-01,0.02,0.08,2.02E-01,8.32E-01,7.12,0.03,1.05E-01,3.45E-01,1,1,2,0,0
CBWD5,0.02,3.90,1.99E-01,6.25E-01,0.03,3.90,1.09E-01,7.45E-01,0.00,0.03,1.05E-01,3.45E-01,1,1,2,0,0
SLC38A3,0.02,-2.28,1.93E-01,6.18E-01,0.03,-5.24,1.12E-01,7.50E-01,2.97,0.03,1.05E-01,3.45E-01,1,1,2,0,0
CHML,0.03,6.38,1.08E-01,5.16E-01,0.02,5.95,2.00E-01,8.31E-01,0.44,0.03,1.05E-01,3.45E-01,1,1,2,0,0
DECR1,0.02,-2.81,2.46E-01,6.65E-01,0.03,-3.64,8.82E-02,7.16E-01,0.84,0.03,8.82E-02,3.27E-01,0,1,1,0,0
BPTF,0.04,4.31,7.43E-02,4.58E-01,0.02,4.35,2.92E-01,8.82E-01,0.04,0.03,7.43E-02,3.06E-01,1,0,1,0,0
CD82,0.02,-6.24,2.74E-01,6.86E-01,0.03,13.27,7.91E-02,7.02E-01,4.49,0.03,7.92E-02,3.13E-01,0,1,1,0,0
HOXB5,0.02,14.95,2.94E-01,7.03E-01,0.04,10.26,7.37E-02,6.90E-01,4.70,0.03,7.37E-02,3.05E-01,0,1,1,0,0
MPP5,0.04,0.16,7.11E-02,4.51E-01,0.02,1.70,3.04E-01,8.87E-01,1.54,0.03,7.11E-02,3.00E-01,1,0,1,1,0
MAP7,0.04,5.22,5.16E-02,4.12E-01,0.01,2.29,4.21E-01,9.24E-01,2.93,0.03,5.16E-02,2.68E-01,1,0,1,1,0
PATL2,0.04,15.51,5.08E-02,4.11E-01,0.01,1.80,4.27E-01,9.26E-01,10.29,0.03,5.08E-02,2.67E-01,1,0,1,0,0
FAM75A7,0.05,13.71,3.02E-02,3.48E-01,0.00,10.64,7.20E-01,9.77E-01,3.07,0.03,3.02E-02,2.21E-01,1,0,1,0,0
KDR,0.00,-5.48,7.88E-01,9.36E-01,0.05,17.42,2.75E-02,5.50E-01,1.10,0.03,2.75E-02,2.14E-01,0,1,1,0,0
LOC284757,0.00,8.13,7.83E-01,9.35E-01,0.05,1.72,2.77E-02,5.51E-01,6.41,0.03,2.77E-02,2.14E-01,0,1,1,0,0
CES2,0.03,3.59,9.53E-02,4.97E-01,0.02,11.53,2.28E-01,8.48E-01,7.94,0.03,9.53E-02,3.35E-01,1,0,1,0,0
RBM28,0.05,7.73,3.09E-02,3.51E-01,0.00,7.63,7.03E-01,9.75E-01,0.09,0.03,3.09E-02,2.23E-01,1,0,1,1,0
ZNF83,0.03,5.84,1.12E-01,5.23E-01,0.02,4.05,1.95E-01,8.30E-01,1.79,0.03,1.05E-01,3.46E-01,1,1,2,1,0
SPICE1,0.05,4.25,3.22E-02,3.56E-01,0.01,10.75,6.77E-01,9.73E-01,6.50,0.03,3.22E-02,2.26E-01,1,0,1,0,0
SNORA52,0.02,9.70,2.27E-01,6.50E-01,0.03,11.81,9.63E-02,7.28E-01,2.11,0.03,9.63E-02,3.36E-01,0,1,1,0,0
FMO9P,0.02,14.63,2.70E-01,6.84E-01,0.03,6.93,8.09E-02,7.06E-01,7.71,0.03,8.09E-02,3.16E-01,0,1,1,0,0
C8orf58,0.02,14.76,3.37E-01,7.34E-01,0.04,13.33,6.49E-02,6.78E-01,1.43,0.03,6.49E-02,2.91E-01,0,1,1,0,0
C18orf26,0.04,17.47,4.80E-02,4.03E-01,0.01,8.28,4.55E-01,9.33E-01,9.18,0.03,4.80E-02,2.61E-01,1,0,1,0,0
IL1F7,0.01,14.70,5.63E-01,8.51E-01,0.04,3.16,3.89E-02,5.99E-01,11.54,0.03,3.89E-02,2.44E-01,0,1,1,0,0
UNC13C,0.02,8.07,2.63E-01,6.79E-01,0.03,4.54,8.34E-02,7.10E-01,3.53,0.03,8.34E-02,3.19E-01,0,1,1,0,0
PADI3,0.03,14.48,7.83E-02,4.66E-01,0.02,7.56,2.80E-01,8.75E-01,6.92,0.03,7.83E-02,3.12E-01,1,0,1,0,0
AVP,0.04,13.73,7.54E-02,4.60E-01,0.02,5.54,2.90E-01,8.81E-01,8.20,0.03,7.54E-02,3.08E-01,1,0,1,0,0
CYP2C19,0.04,-2.06,3.94E-02,3.78E-01,0.01,13.87,5.56E-01,9.55E-01,8.07,0.03,3.94E-02,2.45E-01,1,0,1,0,0
RBMS2,0.02,-4.45,2.89E-01,6.99E-01,0.04,-4.69,7.58E-02,6.96E-01,0.24,0.03,7.58E-02,3.08E-01,0,1,1,0,0
PHF3,0.03,3.34,1.33E-01,5.48E-01,0.02,-3.41,1.65E-01,8.07E-01,6.75,0.03,1.06E-01,3.47E-01,1,1,2,0,0
PGM1,0.03,-2.55,1.17E-01,5.30E-01,0.02,-1.71,1.88E-01,8.28E-01,0.84,0.03,1.06E-01,3.47E-01,1,1,2,0,0
SALL1,0.03,-2.64,9.84E-02,5.02E-01,0.02,16.60,2.23E-01,8.46E-01,4.76,0.03,9.84E-02,3.38E-01,1,0,1,0,0
TAX1BP1,0.02,3.87,2.43E-01,6.63E-01,0.03,-0.37,9.06E-02,7.19E-01,4.24,0.03,9.06E-02,3.30E-01,0,1,1,0,0
PTPLAD2,0.04,-1.42,7.17E-02,4.52E-01,0.02,-3.18,3.06E-01,8.87E-01,1.76,0.03,7.17E-02,3.01E-01,1,0,1,0,0
TPR,0.01,4.25,4.71E-01,8.09E-01,0.04,-0.56,4.66E-02,6.20E-01,4.81,0.03,4.66E-02,2.59E-01,0,1,1,0,0
C19orf47,0.01,10.79,4.64E-01,8.06E-01,0.04,15.61,4.74E-02,6.21E-01,4.83,0.03,4.74E-02,2.61E-01,0,1,1,0,0
DHX16,0.04,10.92,3.70E-02,3.69E-01,0.01,-0.49,5.94E-01,9.61E-01,11.41,0.03,3.70E-02,2.39E-01,1,0,1,0,0
DUSP21,0.05,15.24,3.24E-02,3.56E-01,0.01,4.31,6.80E-01,9.73E-01,10.93,0.03,3.24E-02,2.26E-01,1,0,1,0,0
RPS6KA3,0.01,16.34,4.59E-01,8.04E-01,0.04,17.38,4.81E-02,6.21E-01,1.04,0.03,4.81E-02,2.61E-01,0,1,1,1,0
PKD2L2,0.02,-2.60,3.20E-01,7.23E-01,0.04,-1.06,6.90E-02,6.82E-01,1.54,0.03,6.90E-02,2.98E-01,0,1,1,0,0
FLJ34690,0.05,14.37,3.52E-02,3.65E-01,0.01,-3.17,6.26E-01,9.67E-01,6.46,0.03,3.52E-02,2.35E-01,1,0,1,0,0
FXYD4,0.03,11.91,1.60E-01,5.84E-01,0.03,17.43,1.38E-01,7.82E-01,5.52,0.03,1.06E-01,3.47E-01,1,1,2,0,0
ARHGAP19,0.05,-0.04,2.84E-02,3.45E-01,0.00,2.02,7.79E-01,9.83E-01,2.06,0.03,2.84E-02,2.16E-01,1,0,1,0,0
NOD2,0.05,11.30,2.80E-02,3.45E-01,0.00,10.81,7.88E-01,9.84E-01,0.49,0.03,2.80E-02,2.15E-01,1,0,1,0,0
C1orf91,0.05,7.55,2.40E-02,3.26E-01,0.00,4.94,9.22E-01,9.95E-01,2.61,0.03,2.40E-02,2.02E-01,1,0,1,0,0
SNORD38A,0.03,-3.44,1.26E-01,5.40E-01,0.02,0.37,1.76E-01,8.20E-01,3.82,0.03,1.07E-01,3.47E-01,1,1,2,0,0
TECTB,0.03,16.55,1.46E-01,5.66E-01,0.03,-4.92,1.51E-01,7.97E-01,2.53,0.03,1.07E-01,3.47E-01,1,1,2,0,0
LOC151009,0.03,2.11,1.09E-01,5.17E-01,0.02,0.85,2.04E-01,8.32E-01,1.26,0.03,1.07E-01,3.47E-01,1,1,2,0,0
ANKRD34B,0.05,13.68,3.10E-02,3.51E-01,0.00,16.90,7.16E-01,9.76E-01,3.22,0.03,3.10E-02,2.23E-01,1,0,1,0,0
OR2AG2,0.03,13.31,1.21E-01,5.34E-01,0.02,11.66,1.83E-01,8.23E-01,1.65,0.03,1.07E-01,3.47E-01,1,1,2,0,0
PPIP5K1,0.05,6.07,2.93E-02,3.46E-01,0.00,9.31,7.59E-01,9.82E-01,3.24,0.03,2.93E-02,2.18E-01,1,0,1,0,0
ITPKC,0.05,15.02,2.63E-02,3.36E-01,0.00,-5.78,8.44E-01,9.89E-01,3.20,0.03,2.63E-02,2.09E-01,1,0,1,0,0
ASTE1,0.03,2.90,1.17E-01,5.30E-01,0.02,2.17,1.90E-01,8.28E-01,0.73,0.03,1.07E-01,3.47E-01,1,1,2,0,0
WDR43,0.04,4.55,5.91E-02,4.28E-01,0.01,1.00,3.77E-01,9.12E-01,3.55,0.03,5.90E-02,2.80E-01,1,0,1,0,0
GFRA3,0.04,16.71,4.68E-02,4.01E-01,0.01,14.62,4.76E-01,9.39E-01,2.09,0.03,4.68E-02,2.60E-01,1,0,1,0,0
TIMP4,0.05,10.70,2.91E-02,3.46E-01,0.00,7.95,7.65E-01,9.82E-01,2.75,0.03,2.91E-02,2.17E-01,1,0,1,0,0
SNX18,0.04,14.20,4.36E-02,3.93E-01,0.01,11.02,5.11E-01,9.45E-01,3.17,0.03,4.36E-02,2.54E-01,1,0,1,0,0
C21orf88,0.04,13.96,4.47E-02,3.94E-01,0.01,9.62,4.99E-01,9.42E-01,4.35,0.03,4.47E-02,2.55E-01,1,0,1,0,0
C9orf85,0.04,2.84,4.19E-02,3.86E-01,0.01,1.03,5.33E-01,9.49E-01,1.81,0.03,4.19E-02,2.50E-01,1,0,1,0,0
CEBPZ,0.02,3.01,1.87E-01,6.11E-01,0.03,0.42,1.19E-01,7.57E-01,2.59,0.03,1.07E-01,3.47E-01,1,1,2,0,0
WHAMML1,0.04,0.97,6.93E-02,4.50E-01,0.02,5.07,3.22E-01,8.93E-01,4.10,0.03,6.93E-02,2.98E-01,1,0,1,0,0
HSD3B7,0.04,11.24,5.67E-02,4.25E-01,0.01,11.65,3.94E-01,9.15E-01,0.41,0.03,5.67E-02,2.77E-01,1,0,1,0,0
HPD,0.05,15.80,2.25E-02,3.17E-01,0.00,11.41,9.93E-01,9.99E-01,4.40,0.03,2.25E-02,1.96E-01,1,0,1,0,0
MOV10L1,0.03,15.38,1.27E-01,5.41E-01,0.02,13.87,1.76E-01,8.19E-01,1.51,0.03,1.07E-01,3.48E-01,1,1,2,0,0
FGFR1,0.04,12.53,5.45E-02,4.19E-01,0.01,12.22,4.10E-01,9.20E-01,0.32,0.03,5.45E-02,2.73E-01,1,0,1,1,0
ITLN2,0.05,13.31,2.88E-02,3.46E-01,0.00,-4.25,7.76E-01,9.83E-01,6.44,0.03,2.88E-02,2.17E-01,1,0,1,0,0
JMJD1C,0.02,12.30,2.99E-01,7.07E-01,0.04,13.05,7.50E-02,6.94E-01,0.75,0.03,7.50E-02,3.07E-01,0,1,1,0,0
SNORD116-16,0.03,6.74,9.82E-02,5.02E-01,0.02,7.26,2.28E-01,8.48E-01,0.52,0.03,9.83E-02,3.38E-01,1,0,1,0,0
LITAF,0.02,-2.89,2.38E-01,6.58E-01,0.03,-3.96,9.44E-02,7.24E-01,1.06,0.03,9.44E-02,3.34E-01,0,1,1,1,0
ANXA4,0.03,1.81,7.98E-02,4.69E-01,0.02,0.21,2.81E-01,8.76E-01,1.60,0.03,7.98E-02,3.14E-01,1,0,1,1,0
ALAD,0.01,9.77,3.52E-01,7.44E-01,0.04,11.02,6.36E-02,6.75E-01,1.25,0.03,6.36E-02,2.89E-01,0,1,1,1,0
TBC1D15,0.04,1.86,5.58E-02,4.22E-01,0.01,-0.27,4.02E-01,9.19E-01,2.13,0.03,5.58E-02,2.75E-01,1,0,1,0,0
PSMG2,0.01,5.74,4.26E-01,7.88E-01,0.04,-2.40,5.26E-02,6.38E-01,8.14,0.03,5.26E-02,2.70E-01,0,1,1,0,0
KHDRBS1,0.01,0.73,4.59E-01,8.04E-01,0.04,-2.73,4.90E-02,6.23E-01,3.46,0.03,4.90E-02,2.63E-01,0,1,1,0,0
C20orf196,0.01,5.70,5.22E-01,8.34E-01,0.04,-3.58,4.30E-02,6.14E-01,9.28,0.03,4.30E-02,2.53E-01,0,1,1,0,0
CDC42EP5,0.01,13.31,5.70E-01,8.54E-01,0.04,13.27,3.94E-02,6.00E-01,0.04,0.03,3.93E-02,2.45E-01,0,1,1,0,0
ProSAPiP1,0.04,11.56,3.81E-02,3.72E-01,0.01,9.85,5.90E-01,9.60E-01,1.71,0.03,3.81E-02,2.41E-01,1,0,1,0,0
OR6W1P,0.04,-6.18,6.82E-02,4.46E-01,0.02,-2.51,3.30E-01,8.99E-01,3.67,0.03,6.82E-02,2.96E-01,1,0,1,0,0
CHTF8,0.01,15.91,4.73E-01,8.10E-01,0.04,-6.45,4.75E-02,6.21E-01,1.64,0.03,4.75E-02,2.61E-01,0,1,1,0,0
ZNF334,0.02,2.33,2.62E-01,6.79E-01,0.03,3.31,8.58E-02,7.13E-01,0.98,0.03,8.58E-02,3.23E-01,0,1,1,0,0
MNDA,0.02,-5.64,3.34E-01,7.33E-01,0.04,-3.58,6.74E-02,6.82E-01,2.06,0.03,6.74E-02,2.96E-01,0,1,1,1,0
